SECTION,TOPIC,SYNTAX,TEXT,EXAMPLE,TEXT_ZH
Commands,SELECT,"
selectStatement [ { UNION ALL selectStatement [...] } ]
[ ORDER BY order [,...] ] [ LIMIT {bindParameter | number} ]
[ OFFSET {bindParameter | number} [ ROW | ROWS ] ] [ FETCH { FIRST | NEXT } {bindParameter | number} { ROW | ROWS } ONLY ]
","
Selects data from one or more tables.
UNION ALL combines rows from multiple select statements.
ORDER BY sorts the result based on the given expressions.
LIMIT(or FETCH FIRST) limits the number of rows returned by the query with no limit applied if unspecified or specified
as null or less than zero. The LIMIT(or FETCH FIRST) clause is executed after the ORDER BY clause to support top-N type
queries.
OFFSET clause skips that many rows before beginning to return rows.
An optional hint may be used to override decisions made by the query optimizer.

","
SELECT * FROM TEST LIMIT 1000;
SELECT * FROM TEST LIMIT 1000 OFFSET 100;
SELECT full_name FROM SALES_PERSON WHERE ranking >= 5.0
    UNION ALL SELECT reviewer_name FROM CUSTOMER_REVIEW WHERE score >= 8.0
",從一個或多個表中選取資料。UNION ALL 會合併多個 SELECT 語句中的行。ORDER BY 根據指定的表達式對結果進行排序。LIMIT（或 FETCH FIRST）限制查詢返回的行數；若未指定、指定為 NULL 或小於零，則不施加限制。LIMIT（或 FETCH FIRST）子句在 ORDER BY 子句之後執行，以支援 Top-N 類型查詢。OFFSET 子句會在開始返回行之前跳過指定數量的行。可使用可選提示來覆蓋查詢優化器所做的決策。
Commands,UPSERT VALUES,"
UPSERT INTO tableName [( { columnRef | columnDef } [,...] )] VALUES ( constantTerm [,...] )
[ON DUPLICATE KEY { IGNORE | UPDATE columnRef = operand } ]
","
Inserts if not present and updates otherwise the value in the table. The list of
columns is optional and if not present, the values will map to the column in the
order they are declared in the schema. The values must evaluate to constants.

Use the ON DUPLICATE KEY clause (available in Phoenix 4.9) if you need the UPSERT to be atomic. Performance
will be slower in this case as the row needs to be read on the server side when
the commit is done. Use IGNORE if you do not want the UPSERT performed if the
row already exists. Otherwise, with UPDATE, the expression will be evaluated and the
result used to set the column, for example to perform an atomic increment. An UPSERT
to the same row in the same commit batch will be processed in the order of execution.

","
UPSERT INTO TEST VALUES('foo','bar',3);
UPSERT INTO TEST(NAME,ID) VALUES('foo',123);
UPSERT INTO TEST(ID, COUNTER) VALUES(123, 0) ON DUPLICATE KEY UPDATE COUNTER = COUNTER + 1;
UPSERT INTO TEST(ID, MY_COL) VALUES(123, 0) ON DUPLICATE KEY IGNORE;
",若資料不存在則插入，若已存在則更新表中對應欄位的值。欄位清單為可選項目；若未指定，則值將依資料表架構中宣告的順序與欄位一一對應。所有值必須為常數。如需確保 UPSERT 操作具有原子性，可使用 ON DUPLICATE KEY 子句（適用於 Phoenix 4.9），但此情況下效能會較慢，因為在提交時需在伺服器端讀取該列。若不希望對已存在的列執行 UPSERT，則可使用 IGNORE。否則，搭配 UPDATE 使用時，系統將評估表達式並以其結果設定欄位值，例如用於執行原子性遞增操作。針對同一批次提交中相同列的 UPSERT 操作，將依照執行順序進行處理。
Commands,UPSERT SELECT,"
UPSERT [/*+ hint */] INTO tableName [( { columnRef | columnDef } [,...] )] select
","
Inserts if not present and updates otherwise rows in the table based on the
results of running another query. The values are set based on their matching
position between the source and target tables. The list of columns is optional
and if not present will map to the column in the order they are declared in the
schema. If auto commit is on, and both a) the target
table matches the source table, and b) the select performs no aggregation, then the population of the target table will
be done completely on the server-side (with constraint violations logged, but otherwise ignored). Otherwise, data is
buffered on the client and, if auto commit is on, committed in row batches as specified by the UpsertBatchSize
connection property (or the phoenix.mutate.upsertBatchSize HBase config property which defaults to 10000 rows)

","
UPSERT INTO test.targetTable(col1, col2) SELECT col3, col4 FROM test.sourceTable WHERE col5 < 100
UPSERT INTO foo SELECT * FROM bar;
","若資料不存在則插入，若已存在則更新表中的對應行，其操作結果取決於執行另一項查詢的輸出。欄位數值係依據來源表與目標表中相匹配的位置來設定；若未明確指定欄位清單，則將依資料庫架構中宣告的順序進行對應。當啟用自動提交時，若同時滿足以下條件：(a) 目標表與來源表結構相符，且 (b) SELECT 查詢未執行聚合操作，則目標表的資料填充將完全在伺服器端完成（約束違規情況會記錄但不予處理）；否則，資料會在客戶端緩存，並在啟用自動提交時，依照 UpsertBatchSize 連線屬性（或 Phoenix.mutate.upsertBatchSize HBase 配置屬性，預設值為每批次 10,000 行）指定的批次大小進行逐筆提交。"
Commands,DELETE,"
DELETE [/*+ hint */] FROM tableName [ WHERE expression ]
[ ORDER BY order [,...] ] [ LIMIT {bindParameter | number} ]
","
Deletes the rows selected by the where clause. If auto commit is on, the
deletion is performed completely server-side.

","
DELETE FROM TEST;
DELETE FROM TEST WHERE ID=123;
DELETE FROM TEST WHERE NAME LIKE 'foo%';
",刪除符合 WHERE 子句條件的資料列。若自動提交功能已啟用，則刪除作業將完全在伺服器端執行。
Commands,DECLARE CURSOR,"
DECLARE CURSOR cursorName FOR selectStatement
","
Creates a cursor for the select statement

","
DECLARE CURSOR TEST_CURSOR FOR SELECT * FROM TEST_TABLE
",建立用於 SELECT 語句的光標
Commands,OPEN CURSOR,"
OPEN CURSOR cursorName
","
Opens already declared cursor to perform FETCH operations

","
OPEN CURSOR TEST_CURSOR
",開啟已宣告的游標以執行 FETCH 操作
Commands,FETCH NEXT,"
FETCH NEXT [n ROWS] FROM cursorName
","
Retrieves next or next n rows from already opened cursor

","
FETCH NEXT FROM TEST_CURSOR
FETCH NEXT 10 ROWS FROM TEST_CURSOR
",從已開啟的光標中檢索下一筆或多筆資料行。
Commands,CLOSE,"
CLOSE cursorName
","
Closes an already open cursor

","
CLOSE TEST_CURSOR
",關閉已開啟的光標
Commands,CREATE TABLE,"
CREATE TABLE [IF NOT EXISTS] tableRef
( columnDef [,...] [constraint] )
[tableOptions] [ SPLIT ON ( splitPoint [,...] ) ]
","
Creates a new table. The HBase table and any column families referenced are created
if they don't already exist. All table, column family and column names are uppercased unless they are double quoted in which case they are case sensitive.
Column families that exist in the HBase table but are not listed are ignored.
At create time, to improve query performance, an empty key value is added to the first column family of any existing rows or the default column family if no column families are explicitly defined. Upserts will also add this empty key value. This improves query performance by having a key value column we can guarantee always being there and thus minimizing the amount of data that must be projected and subsequently returned back to the client. HBase table and column configuration options may be passed through as key/value pairs to configure the HBase table as desired. Note that when using the IF NOT EXISTS clause, if a table already exists, then no change will be made to it. Additionally, no validation is done to check whether the existing table metadata matches the proposed table metadata. so it's better to use DROP TABLE followed by CREATE TABLE is the table metadata may be changing.

","
CREATE TABLE my_schema.my_table ( id BIGINT not null primary key, date Date)
CREATE TABLE my_table ( id INTEGER not null primary key desc, date DATE not null,
    m.db_utilization DECIMAL, i.db_utilization)
    m.DATA_BLOCK_ENCODING='DIFF'
CREATE TABLE stats.prod_metrics ( host char(50) not null, created_date date not null,
    txn_count bigint CONSTRAINT pk PRIMARY KEY (host, created_date) )
CREATE TABLE IF NOT EXISTS ""my_case_sensitive_table""
    ( ""id"" char(10) not null primary key, ""value"" integer)
    DATA_BLOCK_ENCODING='NONE',VERSIONS=5,MAX_FILESIZE=2000000 split on (?, ?, ?)
CREATE TABLE IF NOT EXISTS my_schema.my_table (
    org_id CHAR(15), entity_id CHAR(15), payload binary(1000),
    CONSTRAINT pk PRIMARY KEY (org_id, entity_id) )
    TTL=86400
",建立新表。若 HBase 表或其所引用的任何列族尚未存在，則會自動建立它們。除非使用雙引號包裹，否則所有表、列族與欄位名稱均轉為大寫；若使用雙引號包裹，則區分大小寫。HBase 表中已存在但未在清單中列出的列族將被忽略。在建表時，為提升查詢效能，會在現有資料列的第一個列族（或若未明確定義列族時預設列族）中加入一個空的鍵值；Upsert 操作也會加入此空鍵值。透過確保始終存在一個鍵值欄位，可減少必須投影並回傳給客戶端之資料量，進而提升查詢效能。HBase 表與列的配置選項可作為鍵值對傳遞，以依需求設定 HBase 表。請注意，當使用 IF NOT EXISTS 子句時，若表已存在，則不會對其進行任何修改；此外，亦不會驗證現有表的元資料是否符合擬建的表元資料。因此，若需變更表元資料，建議先執行 DROP TABLE，再執行 CREATE TABLE。
Commands,DROP TABLE,"
DROP TABLE [IF EXISTS] tableRef [CASCADE]
","
Drops a table. The optional CASCADE keyword causes any views on the table to be dropped as well. When dropping a table, by default the underlying HBase data and index tables are dropped. The phoenix.schema.dropMetaData
may be used to override this and keep the HBase table for point-in-time queries.

","
DROP TABLE my_schema.my_table;
DROP TABLE IF EXISTS my_table;
DROP TABLE my_schema.my_table CASCADE;
",此指令用於刪除資料表。若選用可選的 CASCADE 關鍵字，則該資料表上的所有視圖也會一併被刪除。執行刪除資料表操作時，預設會同時刪除底層的 HBase 資料與索引資料表；但若需保留 HBase 資料表以支援時間點查詢，可使用 phoenix.schema.dropMetaData 來覆寫此預設行為。
